iter	RMSE
0	2.547088315
1	2.34297285
2	2.158659349
3	1.986300743
4	1.835618579
5	1.701947878
6	1.572000018
7	1.459764126
8	1.350605136
9	1.254960003
10	1.169024981
11	1.09317666
12	1.020088897
13	0.9541505786
14	0.8942713485
15	0.8388187847
16	0.7889562494
17	0.743235825
18	0.7008409161
19	0.6632848914
20	0.6283512101
21	0.5968663649
22	0.5629719206
23	0.5343455057
24	0.5084859056
25	0.485144414
26	0.4613021086
27	0.4397363736
28	0.421522099
29	0.4027986187
30	0.3866275171
31	0.3728821243
32	0.3595838219
33	0.3467227582
34	0.3359621435
35	0.3249549753
36	0.315011452
37	0.3059564548
38	0.298257169
39	0.2901299643
40	0.2826777697
41	0.2768778077
42	0.2700052582
43	0.2646858804
44	0.2599933789
45	0.2545772161
46	0.2499747675
47	0.2459015755
48	0.2418968162
49	0.2388522538
50	0.2352752484
51	0.2310660331
52	0.227118894
53	0.2241513247
54	0.2214031622
55	0.2191474092
56	0.2170630348
57	0.2148606914
58	0.2129394125
59	0.211073801
60	0.2088886865
61	0.2072397806
62	0.2059624892
63	0.2046049111
64	0.203146599
65	0.2022198161
66	0.2010042328
67	0.1996545794
68	0.1985843422
69	0.1977356332
70	0.196592848
71	0.1955416075
72	0.1944324623
73	0.1929953779
74	0.1921988018
75	0.1899810529
76	0.1889611235
77	0.1880425879
78	0.1873206381
79	0.1866599463
80	0.1860857353
81	0.1855549807
82	0.1838969318
83	0.1832636218
84	0.1827926453
85	0.1819098199
86	0.18086344
87	0.1801262934
88	0.1795790305
89	0.1792418278
90	0.1786925713
91	0.1779752498
92	0.1773585973
93	0.1766186424
94	0.1762626373
95	0.175805941
96	0.1752297593
97	0.1748017491
98	0.1742713636
99	0.1738704362
100	0.1729551839
101	0.1724867433
102	0.1720653099
103	0.1715604254
104	0.171084888
105	0.1702645233
106	0.1697435833
107	0.1694472525
108	0.1691428831
109	0.1688266567
110	0.1684214668
111	0.168200043
112	0.1676295222
113	0.1672903177
114	0.1667468155
115	0.166165951
116	0.1657891236
117	0.1655636256
118	0.1653936365
119	0.1650437601
120	0.1647042564
121	0.1642144891
122	0.1635123381
123	0.1632099652
124	0.1628720751
125	0.1625724963
126	0.1622676068
127	0.1620690573
128	0.1617740134
129	0.1613994715
130	0.1612144953
131	0.1606928583
132	0.1604804035
133	0.1602415201
134	0.1599617014
135	0.1596546229
136	0.1591685004
137	0.1589172517
138	0.1587170432
139	0.1584947684
140	0.158286362
141	0.157721642
142	0.1573873184
143	0.157265205
144	0.1568350894
145	0.1566457482
146	0.15633973
147	0.1558822925
148	0.1555498172
149	0.15535146
150	0.1549116583
151	0.1546927706
152	0.1544463048
153	0.1542669299
154	0.1540523845
155	0.1537670188
156	0.1535452103
157	0.1533841464
158	0.1532253403
159	0.1530063836
160	0.1528164943
161	0.1524658814
162	0.1521731203
163	0.1520150485
164	0.151679765
165	0.1514190982
166	0.1512373802
167	0.151061138
168	0.1509338113
169	0.1507455446
170	0.1503144866
171	0.1501180634
