iter	Passed	Remaining
0	23	23756
1	42	21390
2	61	20575
3	81	20265
4	100	20039
5	120	19932
6	140	19948
7	160	19870
8	179	19762
9	200	19824
10	219	19727
11	239	19707
12	258	19602
13	277	19555
14	296	19501
15	316	19454
16	335	19424
17	356	19437
18	376	19435
19	395	19362
20	416	19404
21	435	19347
22	454	19321
23	473	19258
24	493	19260
25	514	19257
26	533	19233
27	553	19212
28	571	19146
29	590	19090
30	610	19072
31	629	19050
32	648	19017
33	668	18985
34	687	18948
35	706	18917
36	725	18873
37	744	18836
38	762	18796
39	781	18760
40	800	18721
41	820	18720
42	840	18700
43	860	18694
44	880	18694
45	898	18643
46	918	18626
47	937	18597
48	958	18595
49	977	18568
50	996	18540
51	1016	18529
52	1035	18501
53	1054	18471
54	1074	18468
55	1094	18444
56	1114	18433
57	1133	18401
58	1153	18391
59	1172	18374
60	1193	18375
61	1212	18347
62	1231	18313
63	1274	18632
64	1294	18618
65	1312	18577
66	1331	18546
67	1350	18506
68	1368	18466
69	1387	18431
70	1422	18613
71	1449	18687
72	1469	18663
73	1489	18640
74	1508	18610
75	1528	18589
76	1546	18536
77	1565	18501
78	1585	18484
79	1604	18450
80	1623	18416
81	1641	18372
82	1661	18351
83	1677	18295
84	1698	18282
85	1717	18252
86	1736	18221
87	1756	18201
88	1776	18183
89	1796	18161
90	1814	18129
91	1834	18106
92	1853	18075
93	1872	18045
94	1891	18014
95	1909	17985
96	1929	17958
97	1947	17928
98	1965	17887
99	1983	17849
100	2003	17833
101	2025	17828
102	2042	17785
103	2060	17756
104	2081	17741
105	2100	17715
106	2119	17691
107	2139	17667
108	2159	17649
109	2178	17623
110	2196	17595
111	2218	17587
112	2240	17585
113	2262	17582
114	2282	17562
115	2302	17544
116	2323	17534
117	2346	17536
118	2366	17518
119	2385	17493
120	2408	17496
121	2429	17487
122	2448	17460
123	2470	17455
124	2491	17440
125	2511	17420
126	2531	17403
127	2553	17397
128	2574	17384
129	2596	17377
130	2616	17354
131	2635	17331
132	2656	17318
133	2678	17307
134	2698	17289
135	2719	17278
136	2740	17263
137	2760	17245
138	2781	17226
139	2801	17209
140	2821	17190
141	2840	17161
142	2859	17139
143	2881	17131
144	2902	17115
145	2922	17097
146	2945	17089
147	2966	17079
148	2988	17068
149	3006	17038
150	3026	17015
151	3046	16995
152	3067	16979
153	3085	16949
154	3104	16923
155	3123	16900
156	3141	16870
157	3162	16854
158	3182	16834
159	3203	16820
160	3225	16808
